county,State,Population_Estimate,Per_Age_over_65,M_per_100_F,Per_high_school_Degree,Per_Bachelor_Degree,Median_Income,Per_votes_Rep,Party_Gov,Voting_Behaviour
Autauga County,AL,55221,0.136,93.9,0.335,0.232,51281,0.73,Rep,Rep
Baldwin County,AL,195121,0.181,95.5,0.288,0.29,50254,0.77,Rep,Rep
Barbour County,AL,26932,0.161,116.6,0.345,0.125,32964,0.52,Rep,Rep
Bibb County,AL,22604,0.144,114.6,0.421,0.107,38678,0.77,Rep,Rep
Blount County,AL,57710,0.166,97.7,0.334,0.129,45813,0.9,Rep,Rep
Bullock County,AL,10678,0.146,112.8,0.333,0.139,31938,0.24,Rep,Rep
Butler County,AL,20354,0.178,87.6,0.377,0.145,32229,0.56,Rep,Rep
Calhoun County,AL,116648,0.155,93.2,0.318,0.175,41703,0.69,Rep,Rep
Chambers County,AL,34079,0.18,91.2,0.384,0.116,34177,0.57,Rep,Rep
Cherokee County,AL,26008,0.199,99.6,0.364,0.138,36296,0.84,Rep,Rep
Chilton County,AL,43819,0.149,97.4,0.392,0.141,41627,0.83,Rep,Rep
Choctaw County,AL,13395,0.203,91,0.368,0.119,33536,0.56,Rep,Rep
Clarke County,AL,25070,0.175,89.4,0.439,0.129,32011,0.55,Rep,Rep
Clay County,AL,13537,0.189,97.2,0.363,0.096,35327,0.8,Rep,Rep
Cleburne County,AL,15002,0.177,95.6,0.383,0.12,38056,0.88,Rep,Rep
Coffee County,AL,50884,0.154,97.9,0.295,0.238,46729,0.77,Rep,Rep
Colbert County,AL,54444,0.181,93.5,0.345,0.186,40576,0.68,Rep,Rep
Conecuh County,AL,12865,0.196,92.3,0.445,0.082,24900,0.52,Rep,Rep
Coosa County,AL,11027,0.179,102.4,0.376,0.085,31212,0.65,Rep,Rep
Covington County,AL,37886,0.196,93.8,0.336,0.143,36444,0.84,Rep,Rep
Crenshaw County,AL,13938,0.171,97,0.38,0.143,36022,0.72,Rep,Rep
Cullman County,AL,80965,0.173,98,0.347,0.145,38971,0.88,Rep,Rep
Dale County,AL,49866,0.149,98.2,0.322,0.163,45028,0.74,Rep,Rep
Dallas County,AL,42154,0.152,85.7,0.346,0.141,27306,0.31,Rep,Rep
DeKalb County,AL,71068,0.149,99.7,0.352,0.112,38192,0.83,Rep,Rep
Elmore County,AL,80763,0.134,95.1,0.354,0.214,53555,0.75,Rep,Rep
Escambia County,AL,37935,0.161,106,0.421,0.126,32330,0.68,Rep,Rep
Etowah County,AL,103766,0.168,93.7,0.319,0.161,39220,0.74,Rep,Rep
Fayette County,AL,16896,0.189,100.7,0.388,0.141,34680,0.82,Rep,Rep
Franklin County,AL,31634,0.16,93.8,0.375,0.114,35372,0.79,Rep,Rep
Geneva County,AL,26815,0.185,96.6,0.371,0.123,36024,0.85,Rep,Rep
Greene County,AL,8697,0.174,89,0.389,0.11,20541,0.17,Rep,Rep
Hale County,AL,15256,0.17,89,0.429,0.139,32714,0.4,Rep,Rep
